train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1359,0.8967,0.3584,0.1206,2.7667,0.0268,0.9075,0.3677,0.0893,2.6664
0.0386,0.8163,0.3035,0.1043,2.3826,0.0278,0.7314,0.2556,0.0891,2.0907
0.0331,0.7014,0.2303,0.0941,1.9907,0.0333,0.7523,0.2693,0.0893,2.166
0.0283,0.6232,0.1853,0.0853,1.7305,0.0203,0.7671,0.2834,0.0853,2.2066
0.0258,0.5616,0.1529,0.0778,1.5326,0.0199,0.5928,0.1856,0.0722,1.649
0.0241,0.523,0.1338,0.0728,1.4105,0.021,0.5437,0.1571,0.0691,1.4916
0.0229,0.4932,0.1197,0.069,1.3178,0.0225,0.5042,0.1369,0.0658,1.3707
0.0225,0.4839,0.1158,0.0682,1.2902,0.0201,0.5487,0.1621,0.0638,1.5054
0.0221,0.472,0.1103,0.0665,1.2531,0.0209,0.4928,0.1317,0.0646,1.3345
0.0251,0.5262,0.1404,0.0729,1.4312,0.0465,0.7138,0.2458,0.1289,2.0945
