train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1598,0.9577,0.402,0.1307,3.0101,0.1037,0.9473,0.395,0.1495,2.9378
0.0499,0.9533,0.3988,0.1188,2.8729,0.0995,0.9161,0.3727,0.146,2.8232
0.048,0.9516,0.3975,0.1176,2.8637,0.1072,0.9155,0.3722,0.1425,2.8251
0.048,0.9531,0.3986,0.1167,2.8681,0.0998,0.9118,0.3697,0.1672,2.83
0.0459,0.9519,0.3977,0.1164,2.8614,0.0963,0.908,0.3672,0.1657,2.8124
0.0454,0.9527,0.3984,0.1162,2.8637,0.1043,0.9139,0.3711,0.1774,2.8517
0.0458,0.9516,0.3976,0.1161,2.8603,0.0968,0.912,0.3699,0.1708,2.8315
0.0458,0.9511,0.3972,0.1164,2.8589,0.0327,0.9411,0.392,0.0978,2.7967
0.0471,0.9524,0.3981,0.1169,2.865,0.0986,0.9128,0.3705,0.1683,2.8335
0.0464,0.9533,0.3988,0.1159,2.8663,0.0963,0.9102,0.3687,0.1433,2.7975
0.0458,0.9513,0.3973,0.116,2.8591,0.0972,0.9125,0.3703,0.1699,2.8326
