train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2126,0.8054,0.1182,0.4854,0.0219,0.7713,0.0867,0.4128
0.0252,0.5365,0.0697,0.292,0.0176,0.714,0.0827,0.3821
0.0209,0.4332,0.0582,0.2364,0.0348,0.5009,0.0782,0.2787
0.0192,0.3933,0.0536,0.2148,0.0189,0.4619,0.0591,0.2505
0.0183,0.368,0.0503,0.2012,0.0172,0.443,0.0543,0.2393
0.0175,0.344,0.0474,0.1882,0.0169,0.4164,0.0505,0.225
0.0171,0.3308,0.0457,0.1811,0.0178,0.3943,0.0508,0.2143
0.0166,0.3173,0.0439,0.1738,0.0174,0.4274,0.0508,0.2307
0.0162,0.3055,0.0422,0.1674,0.0176,0.4082,0.0537,0.2219
0.0159,0.2943,0.0408,0.1613,0.0176,0.37,0.0478,0.2014
0.0156,0.2836,0.0394,0.1555,0.0173,0.3388,0.0433,0.1845
0.0153,0.2743,0.0381,0.1505,0.017,0.3774,0.0524,0.206
0.015,0.2672,0.0371,0.1466,0.0159,0.347,0.0452,0.1888
0.0147,0.2566,0.0357,0.1409,0.0157,0.3984,0.0492,0.2154
0.0145,0.2506,0.035,0.1377,0.0154,0.3583,0.0466,0.1946
