train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.0964,0.7094,0.2388,0.102,2.0949,0.0213,0.7463,0.2679,0.0934,2.143
0.023,0.4866,0.1169,0.0702,1.3001,0.0178,0.6956,0.2385,0.0877,1.9737
0.0199,0.4091,0.0843,0.0598,1.0664,0.0196,0.5028,0.1383,0.0631,1.3649
0.0186,0.3707,0.07,0.0545,0.9544,0.0183,0.462,0.1193,0.0591,1.24
0.0176,0.3359,0.0577,0.0496,0.8543,0.0197,0.4912,0.1304,0.0671,1.3299
0.0168,0.3114,0.05,0.046,0.7856,0.0169,0.5258,0.1502,0.0698,1.4388
0.0162,0.2901,0.0436,0.043,0.7265,0.018,0.4075,0.0986,0.0516,1.0819
0.0157,0.2734,0.0388,0.0405,0.6808,0.0174,0.4259,0.1044,0.0544,1.1325
0.0152,0.2595,0.0351,0.0384,0.6427,0.0166,0.386,0.0895,0.0516,1.0191
0.0148,0.2448,0.0313,0.0363,0.6032,0.0177,0.4523,0.1149,0.0646,1.2167
0.0145,0.2345,0.0288,0.0348,0.5757,0.0162,0.4255,0.1073,0.0589,1.1405
0.0142,0.2254,0.0266,0.0333,0.5514,0.0157,0.4537,0.1179,0.0608,1.2197
0.0138,0.2156,0.0244,0.0318,0.5256,0.0163,0.4453,0.1136,0.0603,1.1944
