train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1136,0.7565,0.2673,0.1049,2.2662,0.0204,0.6658,0.2186,0.0747,1.8637
0.0235,0.5136,0.1297,0.0709,1.381,0.0175,0.4998,0.1368,0.0587,1.3494
0.0204,0.4262,0.0909,0.06,1.1146,0.0169,0.5015,0.1398,0.0582,1.3576
0.0189,0.3837,0.0744,0.0545,0.9894,0.0214,0.4095,0.0941,0.0551,1.0837
0.018,0.3593,0.0657,0.0513,0.9193,0.018,0.3937,0.0906,0.0511,1.0375
0.0174,0.3391,0.0587,0.0485,0.8616,0.018,0.4218,0.104,0.051,1.1207
0.0169,0.3266,0.0545,0.0468,0.8259,0.0192,0.3911,0.0877,0.0515,1.0285
0.0166,0.3143,0.0507,0.045,0.7917,0.0156,0.487,0.132,0.0549,1.3085
0.0163,0.3065,0.0485,0.0438,0.7701,0.0159,0.3825,0.0879,0.048,1.0047
0.0159,0.294,0.0446,0.0421,0.7351,0.0182,0.3405,0.0682,0.0444,0.88
0.0156,0.284,0.0419,0.0406,0.708,0.0188,0.3626,0.0768,0.0514,0.9491
0.0154,0.2784,0.0403,0.0399,0.6927,0.0166,0.3486,0.0745,0.0451,0.9077
0.0152,0.2704,0.0379,0.0387,0.6706,0.0162,0.3484,0.0726,0.0467,0.9049
0.015,0.2628,0.036,0.0375,0.6499,0.016,0.3673,0.0806,0.0491,0.9607
0.0148,0.2584,0.0348,0.037,0.6383,0.0174,0.3565,0.0758,0.0495,0.9315
0.0146,0.252,0.0331,0.036,0.6206,0.0162,0.3626,0.0778,0.0467,0.9436
0.0145,0.2452,0.0312,0.0351,0.6025,0.0157,0.3348,0.0695,0.0439,0.8682
0.0143,0.2408,0.0303,0.0345,0.591,0.0164,0.3179,0.0618,0.0413,0.8172
0.0141,0.2354,0.0289,0.0335,0.5763,0.0165,0.3457,0.073,0.0474,0.9014
0.0139,0.2301,0.0278,0.0329,0.5628,0.0158,0.3436,0.0708,0.0479,0.8926
0.0138,0.2258,0.0267,0.0323,0.5511,0.0169,0.3343,0.067,0.0478,0.8674
0.0137,0.2208,0.0255,0.0316,0.5379,0.0156,0.3455,0.0728,0.0489,0.901
0.0136,0.2179,0.0249,0.0312,0.5304,0.0162,0.3358,0.0704,0.0478,0.8763
0.0135,0.2132,0.0238,0.0304,0.5179,0.016,0.3454,0.0721,0.0495,0.9005
0.0133,0.2089,0.0229,0.0299,0.5067,0.0148,0.3152,0.0612,0.0392,0.8068
0.0132,0.207,0.0225,0.0295,0.5016,0.0153,0.3319,0.0688,0.0436,0.8603
0.0131,0.2026,0.0216,0.0289,0.4904,0.0154,0.3459,0.0738,0.0473,0.9022
0.013,0.2001,0.021,0.0285,0.4838,0.0158,0.3318,0.0687,0.0445,0.8613
