train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1084,0.7963,0.2915,0.1095,2.3935,0.0215,0.8411,0.3254,0.0912,2.4457
0.0252,0.5623,0.1541,0.0773,1.5354,0.0292,0.569,0.1658,0.0821,1.581
0.0212,0.4552,0.1031,0.0637,1.2016,0.0184,0.5218,0.1477,0.067,1.4244
0.0195,0.4074,0.0834,0.0575,1.0586,0.0192,0.5394,0.1557,0.065,1.4745
0.0186,0.3789,0.0728,0.0539,0.9758,0.0178,0.4318,0.1049,0.054,1.1452
0.0179,0.3598,0.0658,0.0513,0.9206,0.0213,0.4059,0.0934,0.055,1.0749
0.0173,0.3428,0.0599,0.0491,0.8718,0.0173,0.3865,0.0864,0.0493,1.0124
0.017,0.3322,0.0565,0.0475,0.8418,0.018,0.3767,0.0823,0.0497,0.9858
0.0167,0.322,0.0533,0.0461,0.8133,0.0167,0.3828,0.0847,0.0505,1.0022
0.0164,0.3124,0.0501,0.0445,0.7861,0.0165,0.4025,0.0965,0.0517,1.0662
0.0161,0.3019,0.0471,0.0431,0.7573,0.017,0.3466,0.0701,0.0457,0.8961
0.016,0.2978,0.0459,0.0424,0.7459,0.0169,0.3813,0.0864,0.048,1.0002
0.0156,0.2867,0.0425,0.0409,0.7149,0.0176,0.3771,0.0828,0.0536,0.9909
0.0155,0.2808,0.0409,0.0402,0.699,0.0179,0.3599,0.0769,0.049,0.9407
0.0153,0.2748,0.0393,0.0393,0.6827,0.018,0.3523,0.0738,0.0468,0.9169
0.015,0.2668,0.037,0.0381,0.6609,0.0159,0.356,0.0763,0.0455,0.926
0.0149,0.2614,0.0356,0.0374,0.6465,0.0157,0.3572,0.0778,0.0468,0.9323
0.0147,0.2553,0.0339,0.0366,0.6296,0.0161,0.328,0.0639,0.0462,0.8461
0.0146,0.2515,0.0329,0.036,0.6194,0.0153,0.3542,0.0768,0.0454,0.9228
0.0144,0.246,0.0315,0.0352,0.6046,0.0165,0.3631,0.0795,0.0471,0.9487
0.0142,0.2396,0.03,0.0343,0.5878,0.0155,0.382,0.0884,0.0499,1.0061
0.0141,0.2355,0.029,0.0337,0.5768,0.0171,0.3396,0.0692,0.0448,0.8794
0.0139,0.2303,0.0277,0.0329,0.5628,0.0155,0.3746,0.0857,0.0487,0.9848
0.0139,0.2284,0.0273,0.0326,0.5578,0.0157,0.3366,0.0698,0.0454,0.8739
0.0137,0.222,0.0258,0.0316,0.5409,0.0162,0.3241,0.0647,0.0418,0.8356
0.0136,0.2184,0.025,0.0312,0.5317,0.0151,0.3721,0.0844,0.0504,0.9785
0.0135,0.2142,0.0241,0.0305,0.5207,0.0157,0.3459,0.0709,0.0505,0.8997
0.0133,0.2088,0.0229,0.0298,0.5066,0.0178,0.3306,0.065,0.0479,0.8568
0.0133,0.2088,0.0228,0.0297,0.5064,0.0155,0.3446,0.0725,0.0461,0.8957
