train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2041,0.8019,0.1131,0.4803,0.0288,0.6791,0.0764,0.3659
0.0251,0.536,0.0693,0.2916,0.0272,0.521,0.0716,0.2852
0.0207,0.4317,0.0582,0.2355,0.0195,0.4434,0.0547,0.2402
0.0191,0.3893,0.0531,0.2127,0.0178,0.4199,0.0525,0.2275
0.0183,0.3634,0.0497,0.1987,0.0192,0.3891,0.0468,0.211
0.0175,0.3409,0.0468,0.1865,0.0209,0.4228,0.0598,0.2316
0.017,0.3267,0.0451,0.1789,0.0167,0.368,0.0456,0.1996
0.0166,0.3146,0.0436,0.1723,0.017,0.3407,0.0442,0.1856
0.0161,0.302,0.042,0.1655,0.0154,0.3776,0.045,0.2039
0.0159,0.294,0.0407,0.1611,0.0165,0.3465,0.0432,0.1882
0.0155,0.2819,0.0391,0.1546,0.0154,0.3255,0.0402,0.1767
0.0153,0.2742,0.0381,0.1505,0.0172,0.3533,0.0447,0.1921
0.0151,0.2667,0.0369,0.1464,0.0171,0.3544,0.0442,0.1925
0.0147,0.2563,0.0357,0.1407,0.0148,0.3556,0.0457,0.1929
