train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2052,0.7935,0.114,0.4766,0.0257,0.7954,0.0922,0.4272
0.0242,0.5217,0.0679,0.2838,0.0251,0.4893,0.0669,0.2677
0.0203,0.4253,0.0576,0.2321,0.0202,0.4466,0.0539,0.2418
0.0188,0.3843,0.0525,0.21,0.0185,0.3915,0.0486,0.2125
0.018,0.3625,0.0496,0.1982,0.0163,0.5391,0.0632,0.2894
0.0173,0.343,0.0472,0.1877,0.0173,0.4501,0.057,0.2436
0.0169,0.3282,0.0455,0.1797,0.0167,0.3818,0.0476,0.207
0.0165,0.3144,0.0436,0.1722,0.0167,0.3852,0.0475,0.2086
0.0162,0.302,0.0418,0.1655,0.0154,0.3847,0.0466,0.2079
0.0158,0.2907,0.0404,0.1594,0.0166,0.3636,0.0474,0.1978
0.0155,0.2814,0.0391,0.1544,0.0166,0.4091,0.0543,0.2222
0.0152,0.273,0.0379,0.1498,0.0164,0.3586,0.0501,0.1959
0.0149,0.2627,0.0366,0.1442,0.0156,0.3228,0.0395,0.1752
0.0147,0.255,0.0356,0.1401,0.0165,0.3254,0.0427,0.1775
0.0145,0.2484,0.0346,0.1365,0.0154,0.3587,0.0482,0.1952
0.0143,0.2413,0.0337,0.1326,0.0158,0.3497,0.0464,0.1904
0.0141,0.2342,0.0326,0.1288,0.0158,0.3624,0.0503,0.1977
