train_ssim_loss,train_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_bce_loss,val_total_loss
0.2034,0.7734,0.1106,0.4652,0.0192,0.8866,0.0893,0.4704
0.0242,0.5181,0.0677,0.282,0.0203,0.5592,0.067,0.3014
0.0204,0.4264,0.0578,0.2328,0.0174,0.5503,0.0636,0.2954
0.019,0.3879,0.0529,0.2119,0.0176,0.4575,0.0572,0.2475
0.018,0.3627,0.0499,0.1983,0.0195,0.3937,0.0508,0.2144
0.0175,0.3457,0.0477,0.1892,0.0166,0.4501,0.0544,0.2428
0.017,0.3304,0.0456,0.1809,0.0188,0.4058,0.0549,0.2213
0.0166,0.3177,0.044,0.174,0.0163,0.3728,0.0451,0.2018
0.0161,0.3045,0.0424,0.1669,0.0175,0.3933,0.0511,0.2138
0.0157,0.2925,0.0408,0.1604,0.0158,0.3746,0.0474,0.2031
0.0156,0.2865,0.0398,0.1571,0.0165,0.3494,0.0428,0.1895
0.0153,0.2755,0.0384,0.1512,0.0167,0.3936,0.0559,0.2149
0.015,0.2674,0.0372,0.1468,0.0155,0.4419,0.0614,0.2402
0.0148,0.2584,0.0359,0.1419,0.0168,0.3339,0.0428,0.1819
0.0145,0.2506,0.035,0.1377,0.0155,0.3546,0.0486,0.1933
0.0144,0.2459,0.0343,0.1351,0.0151,0.3286,0.0396,0.178
0.0141,0.2373,0.033,0.1304,0.0166,0.3365,0.0449,0.1836
0.014,0.2325,0.0323,0.1278,0.0161,0.3743,0.0539,0.2047
0.0138,0.2249,0.0313,0.1237,0.0148,0.3457,0.0429,0.1873
0.0136,0.2204,0.0306,0.1213,0.0155,0.3862,0.052,0.21
0.0134,0.2151,0.03,0.1184,0.0156,0.3117,0.0386,0.1694
0.0133,0.2097,0.0292,0.1155,0.0156,0.3517,0.0464,0.1914
0.0131,0.2044,0.0285,0.1126,0.0152,0.3444,0.0472,0.1878
0.013,0.1996,0.0277,0.11,0.0159,0.3364,0.0466,0.1838
0.0129,0.1976,0.0275,0.1089,0.0143,0.337,0.0429,0.1828
0.0127,0.1912,0.0266,0.1054,0.0159,0.3339,0.0467,0.1826
0.0126,0.1886,0.0263,0.104,0.0155,0.3465,0.0462,0.1887
